"","gene_id","Symbol","Cell Line Pval","Cell Line Pearson","Organoid Pval","Organoid Pearson","Same Corr. Sign?"
"1","ENSG00000005001.9","PRSS22",2.45542434183731e-05,0.672826816427364,0.364074977732661,0.407584622903585,TRUE
"2","ENSG00000006625.17","GGCT",7.35027090478813e-05,0.642479019380509,0.286160798996283,0.470915371166986,TRUE
"3","ENSG00000011028.13","MRC2",0.000320079387634243,-0.595879860496923,0.526215350912321,-0.291279991884468,TRUE
"8","ENSG00000052344.15","PRSS8",0.000191457437836869,0.613008189096095,0.00832720715284804,0.883622423113091,TRUE
"10","ENSG00000054938.15","CHRDL2",0.000343227583162815,-0.593475782918984,0.615082907705572,-0.233008382556429,TRUE
"13","ENSG00000065361.14","ERBB3",3.49673895425407e-05,0.663405595220361,0.553057860700389,0.273369702769678,TRUE
"15","ENSG00000068366.19","ACSL4",0.000377395735487812,-0.590177682041991,0.652147699608448,-0.209466835082493,TRUE
"16","ENSG00000070759.16","TESK2",0.000339997429203306,0.593802456221635,0.230596871125509,0.520912901607207,TRUE
"17","ENSG00000072201.13","LNX1",0.000243715384316837,0.605086064651075,0.622093016505314,0.228525819606951,TRUE
"19","ENSG00000074370.17","ATP2A3",0.000331773893204012,0.594646715310934,0.16844997121326,0.584160933209165,TRUE
"25","ENSG00000087510.6","TFAP2C",0.000433399838048428,0.585304553996099,0.528471628654392,0.289762986584065,TRUE
"26","ENSG00000089356.16","FXYD3",0.000466801707962971,0.582657647127902,0.990626756307172,0.00552138044709702,TRUE
"27","ENSG00000091831.21","ESR1",0.000539292868757032,0.577445586002325,0.475830228875434,0.325768889169296,TRUE
"28","ENSG00000092929.11","UNC13D",0.000414378199710349,0.586893714768185,0.376945425032039,0.397699600085047,TRUE
"29","ENSG00000097007.17","ABL1",0.00024096265184736,-0.605463690476286,0.774614801261833,-0.133961616729311,TRUE
"33","ENSG00000101310.14","SEC23B",5.25870662028699e-05,0.652107819373344,0.355528397468849,0.414228508760171,TRUE
"34","ENSG00000101938.14","CHRDL1",0.000399088991927447,-0.588218576204946,0.51623611052434,-0.298016187613114,TRUE
"35","ENSG00000102802.9","MEDAG",0.000404783808642104,-0.587719931669411,0.348827388604959,-0.419484332099041,TRUE
"42","ENSG00000106772.17","PRUNE2",0.000511240109055502,-0.579384553998049,0.233535331469569,-0.518138279008501,TRUE
"44","ENSG00000108604.15","SMARCD2",0.000349863165040134,0.592813174424741,0.814678018446462,0.109824782813322,TRUE
