"","gene_id","Symbol","Cell Line Pval","Cell Line Pearson","Organoid Pval","Organoid Pearson","Same Corr. Sign?"
"46","ENSG00000109062.9","SLC9A3R1",0.000379970932806861,0.589939975308255,0.723781688492917,0.164940462206026,TRUE
"47","ENSG00000110876.9","SELPLG",0.000535405897113692,-0.577708853413392,0.635918860640502,-0.219727066184672,TRUE
"48","ENSG00000111490.12","TBC1D30",1.30345219389689e-05,0.688905691987039,0.985919337451096,0.00829448019954242,TRUE
"50","ENSG00000112208.11","BAG2",0.000297642921948892,-0.59836203474527,0.545979117164484,-0.278064475722645,TRUE
"52","ENSG00000113812.13","ACTR8",0.000182822897624208,-0.614499295829098,0.855921067349149,-0.0851781575764273,TRUE
"53","ENSG00000114480.12","GBE1",1.47273298864797e-05,-0.68588202371895,0.234229024906643,-0.517485648837942,TRUE
"56","ENSG00000115226.9","FNDC4",0.000477535187382777,-0.58184262093818,0.649853124465924,-0.210913237939142,TRUE
"57","ENSG00000115339.13","GALNT3",0.000516536365827897,0.579011403561132,0.643127590630501,0.215160766832303,TRUE
"59","ENSG00000116741.7","RGS2",0.000226092483520814,-0.607572502566931,0.136686355657863,-0.620974815156069,TRUE
"64","ENSG00000118242.15","MREG",0.000536575885660249,0.577629432133565,0.727907022964981,0.162409413692985,TRUE
"65","ENSG00000118496.4","FBXO30",0.000158201054271773,-0.619125005501817,0.610670799867563,-0.235837287269194,TRUE
"66","ENSG00000118513.18","MYB",0.000259233245423631,0.603025649766924,0.239070301824655,0.512955816531664,TRUE
"67","ENSG00000119411.10","BSPRY",4.42783381694021e-05,0.656926202394106,0.366839103144431,0.405449714093066,TRUE
"68","ENSG00000119888.10","EPCAM",4.86370205377848e-05,0.654306058110789,0.231828398040399,0.519748038424084,TRUE
"69","ENSG00000124507.10","PACSIN1",0.000406137620094124,0.58760230482676,0.776737641697284,0.132677065356015,TRUE
"71","ENSG00000125850.10","OVOL2",2.52350515884898e-05,0.672109724117378,0.214804105414958,0.536118883827299,TRUE
"74","ENSG00000126878.12","AIF1L",0.000167393435850554,0.617327494510329,0.414322397844065,0.369738361127578,TRUE
"77","ENSG00000128886.11","ELL3",0.000278354308209281,0.600632514646319,0.5993952381734,0.243094372842876,TRUE
"81","ENSG00000130270.16","ATP8B3",0.000483207651301857,-0.581418414420122,0.849596443764784,-0.088946438174853,TRUE
"82","ENSG00000130545.15","CRB3",0.000158193469906129,0.619126526632535,0.547490608941026,0.277060361078682,TRUE
"85","ENSG00000131844.15","MCCC2",0.000430540853731314,0.585539416120826,0.290574918711463,0.467141008978432,TRUE
"87","ENSG00000132698.13","RAB25",1.38055103980828e-05,0.687487076545098,0.207894173245151,0.54293820806837,TRUE
"88","ENSG00000132718.8","SYT11",0.000393674872613475,-0.588698520357991,0.142695546655035,-0.613704604999968,TRUE
"89","ENSG00000132746.14","ALDH3B2",0.000313845046625905,0.59655367674842,0.538907818208791,0.282774292306443,TRUE
"91","ENSG00000133328.3","HRASLS2",0.00018617496293009,0.613913121701795,0.488165934465898,0.31721056493794,TRUE
"92","ENSG00000133985.2","TTC9",0.000431580094242388,0.58545388453334,0.476254221852929,0.325473411432304,TRUE
"94","ENSG00000134317.17","GRHL1",0.000145222255231044,0.621828488152364,0.146861422779237,0.608754862699235,TRUE
"95","ENSG00000134490.13","TMEM241",2.98332017277588e-05,0.667678287092823,0.517442472373411,0.297199522305486,TRUE
"97","ENSG00000135374.9","ELF5",9.35180055109465e-05,0.635344312678089,0.178678750404134,0.573055403965024,TRUE
"100","ENSG00000135766.8","EGLN1",4.51713143317585e-05,-0.656371086032213,0.119394649472297,-0.642854159761453,TRUE
"101","ENSG00000136237.18","RAPGEF5",0.000296250808750838,0.598521459908092,0.216871853736535,0.534098596131183,TRUE
"102","ENSG00000136274.8","NACAD",2.97390001006377e-05,-0.667762698378149,0.60338238182899,-0.240523602745958,TRUE
"105","ENSG00000136828.18","RALGPS1",0.000481848006476616,0.58151969059728,0.372619087480041,0.401006738178793,TRUE
"107","ENSG00000137747.14","TMPRSS13",0.000126324796413078,0.626178450892862,0.633017156553104,0.221569187980803,TRUE
"109","ENSG00000138686.9","BBS7",0.000182321094913985,-0.614587868536364,0.585255437302153,-0.252253162784749,TRUE
"111","ENSG00000140832.9","MARVELD3",0.00018423907264012,0.614250491346007,0.630922936145695,0.222900159802624,TRUE
"114","ENSG00000143217.8","PVRL4",0.000378389031118083,0.590085824921297,0.130053886523332,0.629189892465973,TRUE
"116","ENSG00000143641.9","GALNT2",0.000325427352288336,-0.595311060588609,0.667924999384339,-0.199558011089361,TRUE
"117","ENSG00000144452.14","ABCA12",0.000487886934881075,0.581071782415543,0.582889048483712,0.253792514683414,TRUE
"118","ENSG00000144583.4","MARCH4",0.000387824455804127,-0.589223757705073,0.435755966557577,-0.354152449442357,TRUE
"119","ENSG00000144642.20","RBMS3",0.000428754958068803,-0.585686826636879,0.45353728264842,-0.341443395916195,TRUE
"121","ENSG00000145242.13","EPHA5",0.000279599930770686,-0.60048173526031,0.166486019691326,-0.586330890160988,TRUE
"123","ENSG00000146374.13","RSPO3",0.000205335258053095,-0.610732662644619,0.443429893970842,-0.348644014376087,TRUE
"124","ENSG00000146904.8","EPHA1",0.000102314623768502,0.632634552346367,0.123499944619728,0.637520303182335,TRUE
"125","ENSG00000147650.11","LRP12",0.000229644952544288,-0.607057733918957,0.105191372161195,-0.662078639314582,TRUE
"131","ENSG00000151150.20","ANK3",0.000121814768493463,0.627302201799885,0.236252071325669,0.515587490715755,TRUE
"135","ENSG00000154222.14","CC2D1B",3.3051444813634e-05,-0.664929593139788,0.299811840443285,-0.4593241511587,TRUE
"137","ENSG00000155066.15","PROM2",4.93527170879856e-05,0.653896149767728,0.325978785815189,0.437734125302607,TRUE
"138","ENSG00000157350.12","ST3GAL2",0.000158200224247988,-0.61912517196935,0.653812333941074,-0.208418380708218,TRUE
"140","ENSG00000162069.14","CCDC64B",0.000188242224752634,0.613556291061024,0.228488924156135,0.522913528357015,TRUE
"141","ENSG00000162078.11","ZG16B",8.54107998716067e-05,0.638051865087273,0.203408974729259,0.547422627077953,TRUE
"147","ENSG00000162733.16","DDR2",0.000438696449141221,-0.584873043405857,0.631146922467742,-0.222757746959854,TRUE
"148","ENSG00000162878.12","PKDCC",0.000328309747573867,-0.595007924724007,0.499313893874156,-0.309542463887816,TRUE
"149","ENSG00000163430.9","FSTL1",0.000345589583096162,-0.593238629246719,0.406472260188174,-0.375524851597526,TRUE
"152","ENSG00000163939.18","PBRM1",0.000471164579794959,-0.582324381861048,0.937601704934439,-0.0367805031403915,TRUE
"153","ENSG00000164088.17","PPM1M",9.06597863690232e-05,-0.636274002036203,0.841242620845497,-0.0939296265302975,TRUE
"155","ENSG00000164111.14","ANXA5",1.72356751999073e-05,-0.681934378565908,0.816890779881182,-0.108497708781858,TRUE
"159","ENSG00000166130.14","IKBIP",0.000404428616741046,-0.587750850445427,0.627528750747814,-0.225059972673061,TRUE
"160","ENSG00000166145.14","SPINT1",0.00045080497332283,0.583903630352761,0.222753039448862,0.528401722217417,TRUE
"164","ENSG00000167306.18","MYO5B",0.000211198065004455,0.609812282639345,0.532473617081143,0.28707760691346,TRUE
"166","ENSG00000168447.10","SCNN1B",6.39365669628275e-05,0.646528784277829,0.303575018910209,0.456170015667693,TRUE
"167","ENSG00000169554.16","ZEB2",0.000228962722469637,-0.607156039916645,0.92327779813729,-0.0452393866228391,TRUE
"171","ENSG00000170561.12","IRX2",4.50049228400684e-05,0.6564737707914,0.345771437919063,0.421895248350351,TRUE
"172","ENSG00000171345.13","KRT19",3.73639842396959e-05,0.66160169773276,0.948655029386644,0.0302585343497797,TRUE
"173","ENSG00000171388.11","APLN",0.0004873390492115,-0.581112216400473,0.359594419899822,-0.411059523352298,TRUE
"174","ENSG00000171433.11","GLOD5",0.000489405150019239,0.580959947433879,0.589744953773798,0.249337943952038,TRUE
"180","ENSG00000173706.12","HEG1",7.7009644874079e-05,-0.641112178944017,0.62207006199291,-0.228540473836576,TRUE
"181","ENSG00000173715.15","C11orf80",0.000251048991440703,0.604098227939193,0.592976722795794,0.247243623002587,TRUE
"183","ENSG00000173898.11","SPTBN2",0.000461784287394665,0.583044333941109,0.698942348787504,0.180251508372997,TRUE
"186","ENSG00000175707.8","KDF1",9.52233874830141e-05,0.63480164866764,0.634499445845832,0.220627874416818,TRUE
"187","ENSG00000175906.4","ARL4D",0.000444580232388226,-0.584399068147606,0.0829392880412052,-0.69515972271142,TRUE
"188","ENSG00000176095.11","IP6K1",4.80048801098099e-05,-0.654672641957651,0.815909751694881,-0.109085995288946,TRUE
"189","ENSG00000176697.18","BDNF",0.000530505005886592,-0.578043211113427,0.192230319119691,-0.558810667941244,TRUE
"190","ENSG00000178363.4","CALML3",0.000502549789766476,0.580004301314852,0.765007108260345,0.139783883149388,TRUE
"191","ENSG00000179178.10","TMEM125",0.000561754783692772,0.575956254512474,0.372947636048343,0.400755040534054,TRUE
"194","ENSG00000181392.14","SYNE4",0.000431212455284639,0.585484121104825,0.892289082795397,0.0635753698246822,TRUE
"195","ENSG00000182107.6","TMEM30B",9.774771592392e-06,0.695893761578104,0.948994148837773,0.0300585036625297,TRUE
"197","ENSG00000182752.9","PAPPA",0.000119864414189085,-0.627799718453222,0.514665749522149,-0.299080249413251,TRUE
"198","ENSG00000183742.12","MACC1",0.000283599877657649,0.600001553300943,0.295155316309627,0.463251277373403,TRUE
"200","ENSG00000184012.11","TMPRSS2",0.000378515602741476,0.590074135292277,0.0800049223464054,0.69985734248559,TRUE
"203","ENSG00000185614.4","FAM212A",0.000115460152620658,-0.628950367370772,0.471609187825691,-0.328715737975942,TRUE
"205","ENSG00000186522.14","SEPT10",0.000500585588076791,-0.580145688988545,0.943034473032229,-0.0335743851769121,TRUE
"207","ENSG00000186854.10","TRABD2A",9.16373298355273e-06,-0.69743496582574,0.979451533771728,-0.0121049325719546,TRUE
"208","ENSG00000187017.14","ESPN",3.83482975616857e-05,0.660890829944977,0.963433117178766,0.0215446718347955,TRUE
"209","ENSG00000187479.5","C11orf96",0.000409990321443357,-0.587269449950617,0.242540051328839,-0.509735478929012,TRUE
"212","ENSG00000189143.9","CLDN4",5.57549457680621e-05,0.650449537869671,0.743819135019657,0.152676188833977,TRUE
"213","ENSG00000197822.10","OCLN",0.000321575324908174,0.595719911022791,0.163013722456061,0.590198629651731,TRUE
"216","ENSG00000198796.6","ALPK2",1.19004079329693e-05,-0.691136840907182,0.443429893970842,-0.348644014376087,TRUE
"217","ENSG00000198959.11","TGM2",8.50454213134604e-05,-0.638179232462843,0.477102495260767,-0.324882541582274,TRUE
"218","ENSG00000205629.11","LCMT1",1.66462514150783e-06,0.734973284156301,0.300042758715252,0.459130106023983,TRUE
"219","ENSG00000205744.9","DENND1C",0.000274194777453613,0.601140394913892,0.657403830166872,0.206158749727276,TRUE
"220","ENSG00000213853.9","EMP2",1.15068174926678e-05,0.691956281350139,0.508157216889386,0.303502356628654,TRUE
"223","ENSG00000215045.8","GRID2IP",4.63653418065774e-05,0.655644032608465,0.392807189794741,0.385704160376289,TRUE
"227","ENSG00000241484.9","ARHGAP8",1.9112285335703e-05,0.679307238620149,0.16108151648045,0.592368582403049,TRUE
"231","ENSG00000253313.5","C1orf210",0.000202251314945653,0.611226229060916,0.20067315151858,0.550181265979312,TRUE
"232","ENSG00000262560.1","RP11-296A16.1",2.62163902613025e-05,0.671106174479633,0.106738079925956,0.659922353755341,TRUE
"234","ENSG00000273045.5","C2orf15",7.05822942197607e-05,0.643662618390898,0.729544699621923,0.161405528408831,TRUE
"235","ENSG00000275832.4","ARHGAP23",0.000312421700126408,-0.596709178004258,0.880030942121382,-0.0708452623621447,TRUE
