"","estimate","pval","fdr","Symbol","EntrezGeneId","significant"
"ENSG00000005001.9",0.661864709662356,8.15747286273513e-06,0.0229056797058965,"PRSS22","64063",TRUE
"ENSG00000047849.21",-0.718191100137387,5.59881133924443e-07,0.0229056797058965,"MAP4","4134",TRUE
"ENSG00000054179.11",0.656111763577683,1.03944812519805e-05,0.0229056797058965,"ENTPD2","954",TRUE
"ENSG00000065361.14",0.648726791213666,1.40831448896343e-05,0.0229056797058965,"ERBB3","2065",TRUE
"ENSG00000083307.10",0.6587721485399,9.29842885074868e-06,0.0229056797058965,"GRHL2","79977",TRUE
"ENSG00000111490.12",0.67063239790146,5.58172588529829e-06,0.0229056797058965,"TBC1D30","23329",TRUE
"ENSG00000114480.12",-0.674155778106038,4.77531706449856e-06,0.0229056797058965,"GBE1","2632",TRUE
"ENSG00000119411.10",0.650296597006423,1.32116783407395e-05,0.0229056797058965,"BSPRY","54836",TRUE
"ENSG00000119888.10",0.651205593547449,1.27298105051506e-05,0.0229056797058965,"EPCAM","4072",TRUE
"ENSG00000125850.10",0.659367061541183,9.06823972474015e-06,0.0229056797058965,"OVOL2","58495",TRUE
"ENSG00000130701.3",0.665814173553175,6.88642948635236e-06,0.0229056797058965,"RBBP8NL","140893",TRUE
"ENSG00000132698.13",0.676298729172218,4.3385095332282e-06,0.0229056797058965,"RAB25","57111",TRUE
"ENSG00000134490.13",0.648433204700414,1.42518245497096e-05,0.0229056797058965,"TMEM241","85019",TRUE
"ENSG00000145191.11",0.643435103033724,1.74207493138905e-05,0.0229056797058965,"EIF2B5","8893",TRUE
"ENSG00000149300.9",0.656630678887554,1.01718664115525e-05,0.0229056797058965,"C11orf52","91894",TRUE
"ENSG00000155066.15",0.649112208189121,1.38644653135091e-05,0.0229056797058965,"PROM2","150696",TRUE
"ENSG00000162616.8",-0.668197409562726,6.20979730089614e-06,0.0229056797058965,"DNAJB4","11080",TRUE
"ENSG00000163624.5",0.643543938232321,1.73454155826744e-05,0.0229056797058965,"CDS1","1040",TRUE
"ENSG00000171345.13",0.647449676343907,1.48304078441724e-05,0.0229056797058965,"KRT19","3880",TRUE
"ENSG00000172818.9",0.660763017005962,8.54837937850133e-06,0.0229056797058965,"OVOL1","5017",TRUE
"ENSG00000173068.17",-0.646611666906357,1.5340178118926e-05,0.0229056797058965,"BNC2","54796",TRUE
"ENSG00000176095.11",-0.642160059178792,1.8325765482416e-05,0.0229056797058965,"IP6K1","9807",TRUE
"ENSG00000182107.6",0.646034162813531,1.57007126260344e-05,0.0229056797058965,"TMEM30B","161291",TRUE
"ENSG00000187017.14",0.653098328132973,1.17774610001323e-05,0.0229056797058965,"ESPN","83715",TRUE
"ENSG00000188883.4",0.680016604872259,3.66644942488876e-06,0.0229056797058965,"KLRG2","346689",TRUE
"ENSG00000198125.12",0.644105397204709,1.69614731325615e-05,0.0229056797058965,"MB","4151",TRUE
