"","block_id","conc1","conc2","ZIP_synergy","Bliss_synergy","Loewe_synergy","HSA_synergy","idSample","drug1","drug2"
"1",1,0.39,3.125,0.65136861281862,-7.20740089251164,-18.5425498044128,-8.6578873634071,"AU565 R1","TBF","FLUVA"
"2",1,0.39,6.25,0.879648018093453,1.23338983986274,-12.3923676805686,-0.25217147660409,"AU565 R1","TBF","FLUVA"
"3",1,0.39,12.5,2.98469508435324,11.9326956283761,0.853639604385204,10.4861305687868,"AU565 R1","TBF","FLUVA"
"4",1,0.39,25,5.69573252716996,8.1994904756024,1.67319690334849,6.82263939478844,"AU565 R1","TBF","FLUVA"
"5",1,1.56,25,6.16241535405602,5.46092244940066,-1.8871365578948,14.7870551975343,"AU565 R1","TBF","FLUVA"
"6",1,1.56,50,9.48496126140127,9.63348170059086,-9.52615596006763,20.2717848136733,"AU565 R1","TBF","FLUVA"
"7",1,6.25,0.78,2.30190032722449,6.03863583246694,10.4953711128316,8.0694872513309,"AU565 R1","TBF","FLUVA"
"8",1,6.25,12.5,4.98444198614396,7.77365818058607,-5.44237899172916,10.8153544410199,"AU565 R1","TBF","FLUVA"
"9",1,6.25,25,4.17355475234491,4.03994469671711,-7.22158885443581,9.03614457831325,"AU565 R1","TBF","FLUVA"
"10",1,6.25,50,9.05746128015817,8.27444674146423,-7.98001702007809,26.9613337069207,"AU565 R1","TBF","FLUVA"
"11",1,25,12.5,0.431796842943939,0.906057979891443,3.43074229625701,1.3659288316055,"AU565 R1","TBF","FLUVA"
"12",1,0.39,12.5,0.057864698555786,1.9132040305086,-1.51672779618811,2.30579994162532,"AU565 R1","TBF","FLUVA"
"13",1,0.39,25,2.50672792266107,1.68397176091856,-3.30995828847428,2.551807530334,"AU565 R1","TBF","FLUVA"
"14",1,0.39,50,17.4158301140297,18.900123852305,10.948379643436,19.6097235541842,"AU565 R1","TBF","FLUVA"
"15",1,1.56,1.56,0.529741478652918,-0.453870533310058,-0.379156067932621,-0.0583746820664572,"AU565 R1","TBF","FLUVA"
"16",1,1.56,3.125,0.675984419468497,0.546044121869267,-0.279085184390107,0.0416962014760571,"AU565 R1","TBF","FLUVA"
"17",1,1.56,6.25,2.75555722345073,4.18975734575394,0.888261542531053,2.9270733436184,"AU565 R1","TBF","FLUVA"
"18",1,1.56,12.5,3.6312266152252,2.56569664405423,-2.56447776850173,2.91039486302799,"AU565 R1","TBF","FLUVA"
"19",1,1.56,25,16.9647013727488,17.412878083671,5.33621783916834,19.401242546804,"AU565 R1","TBF","FLUVA"
"20",1,1.56,50,31.2795590687968,29.5949928145551,12.4061306366084,39.9658091147896,"AU565 R1","TBF","FLUVA"
"21",1,6.25,0.78,8.60468702611956,12.4509503075109,11.6800290732927,12.5088604428137,"AU565 R1","TBF","FLUVA"
"22",1,6.25,1.56,8.97436509424217,11.2352004802412,10.6167759356536,11.4456073051745,"AU565 R1","TBF","FLUVA"
"23",1,6.25,3.125,7.94173857179759,7.02727121950299,5.93012288974604,6.75895425926698,"AU565 R1","TBF","FLUVA"
"24",1,6.25,6.25,11.1052548592989,10.528739598449,7.31012024419505,9.85698202893717,"AU565 R1","TBF","FLUVA"
"25",1,6.25,12.5,15.9298134182108,14.2935390573577,8.49399853729851,14.476921152483,"AU565 R1","TBF","FLUVA"
"26",1,6.25,25,21.8537931161522,19.9820781266159,8.18485898874334,21.0399032648126,"AU565 R1","TBF","FLUVA"
"27",1,6.25,50,22.9300072039439,26.5525745262489,9.25944567156044,35.8587332693992,"AU565 R1","TBF","FLUVA"
"28",1,25,0.78,0.340100461730955,0.610351685040555,1.27791122259667,0.621273401993079,"AU565 R1","TBF","FLUVA"
"29",1,25,3.125,0.213792110560618,0.36332546628374,-0.748671083547237,0.31272151107035,"AU565 R1","TBF","FLUVA"
"30",1,25,12.5,0.0440619781105767,-0.0637727780495823,-1.09057993565082,-0.0291873410332357,"AU565 R1","TBF","FLUVA"
"31",1,25,25,1.44859760543011,1.6643168429797,-0.915602803859542,1.86382020597924,"AU565 R1","TBF","FLUVA"
"32",1,25,50,2.17322118243263,1.28453317333222,-3.17583075267743,3.03965308760372,"AU565 R1","TBF","FLUVA"
"33",1,0.39,1.56,1.04514912479966,-7.53596307012894,-2.79931421558324,-3.23325635103927,"AU565 R1","TBF","FLUVA"
"34",1,1.56,1.56,1.40720670107456,1.09983405268361,3.93054241481203,4.88634982375105,"AU565 R1","TBF","FLUVA"
"35",1,1.56,3.125,4.02415588168178,11.1883069808609,4.66547388028835,7.02564725902516,"AU565 R1","TBF","FLUVA"
"36",1,1.56,6.25,4.24849723009274,3.72674347402895,-0.805224754335807,4.3636805639966,"AU565 R1","TBF","FLUVA"
"37",1,1.56,12.5,8.66120601690748,8.651552433089,4.01899349039747,13.4009967181233,"AU565 R1","TBF","FLUVA"
"38",1,1.56,25,8.61517986192311,10.8664827450117,5.084573956942,24.9057979822536,"AU565 R1","TBF","FLUVA"
"39",1,1.56,50,8.64885091035384,8.9929560262734,8.93703749129271,17.3574814634739,"AU565 R1","TBF","FLUVA"
"40",1,6.25,0.78,5.7295263565036,6.19051904045961,7.09960823418052,6.98310441230097,"AU565 R1","TBF","FLUVA"
"41",1,6.25,1.56,6.15824015926044,3.80287388679157,4.89908327568697,6.18694542360521,"AU565 R1","TBF","FLUVA"
"42",1,6.25,3.125,9.02741029572457,12.3145913387584,8.40582935566752,9.69369150358576,"AU565 R1","TBF","FLUVA"
"43",1,6.25,6.25,10.9912695626184,10.374466068399,6.67890123277304,10.7754953202869,"AU565 R1","TBF","FLUVA"
"44",1,6.25,12.5,15.7210378724308,14.6710069594628,9.35166694316816,17.6613589400754,"AU565 R1","TBF","FLUVA"
"45",1,6.25,25,15.7725507371167,12.9490292978075,7.8421745197292,23.1736963656254,"AU565 R1","TBF","FLUVA"
"46",1,6.25,50,12.7689068763047,12.5385431660929,14.4696168638783,35.5293545642397,"AU565 R1","TBF","FLUVA"
"47",1,25,0.78,0.591736992809032,1.41261435998706,2.108534330474,1.55585268019935,"AU565 R1","TBF","FLUVA"
"48",1,0.39,1.56,1.54788883754048,-11.5613396284762,-10.619127304066,-8.09990340830689,"AU565 R2","TBF","FLUVA"
"49",1,0.39,6.25,0.33467567134904,-1.3057481720571,-3.82321175280337,2.2906030081413,"AU565 R2","TBF","FLUVA"
"50",1,0.39,12.5,2.52924396723051,-0.150794924557694,2.179272033591,3.25651993928523,"AU565 R2","TBF","FLUVA"
"51",1,0.39,25,1.07850637490073,1.90021007441323,2.81571919262463,5.02966744859941,"AU565 R2","TBF","FLUVA"
"52",1,1.56,0.78,4.12125491537427,6.18968029271076,3.33147294431266,9.16241203256519,"AU565 R2","TBF","FLUVA"
"53",1,1.56,1.56,5.43836682831429,4.92830367381836,6.52589822373865,9.04512211949772,"AU565 R2","TBF","FLUVA"
"54",1,1.56,3.125,6.11497759399342,6.37670971666657,1.9101951742009,7.74113426245343,"AU565 R2","TBF","FLUVA"
"55",1,1.56,6.25,8.7072622156094,7.41031690068637,5.57378010589678,11.4047191941493,"AU565 R2","TBF","FLUVA"
"56",1,1.56,12.5,14.9803406781817,13.527238299565,7.96267655429153,17.5796881468194,"AU565 R2","TBF","FLUVA"
"57",1,1.56,25,15.6962466661121,14.7822253272144,7.75049669524871,18.5042086380571,"AU565 R2","TBF","FLUVA"
"58",1,1.56,50,6.20237563536365,7.28776079914227,-6.17949775127163,9.71436456464744,"AU565 R2","TBF","FLUVA"
