block_id,drug1,drug2,conc_unit1,conc_unit2,input_type,replicate,response_p_value,response_origin_p_value,ZIP_synergy_p_value,Bliss_synergy_p_value,ZIP_synergy,Bliss_synergy,ic50_1,ic50_2,ri_1,ri_2,css1_ic502,css2_ic501,css
58,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,2.09e-06,5.34e-10,-3.78140578079471,-5.26818622170642,15.5635991796167,12.9296554003595,50.7112,24.8212,74.9409,81.544,78.24245
66,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,4.06e-09,3.25e-03,5.45458840242,3.89862401570022,7.01854239465065,12.514781701291,32.8837,13.1706,74.0648,67.1225,70.59365
95,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,3.26e-01,5.43e-01,1.07570458943483,0.885767966565022,18.7509137710134,22.1019785625246,38.4076,10.6999,73.6854,65.3825,69.53395
132,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,1.30e-07,6.71e-09,-3.59330999582246,-4.19755361738806,0.389384430661644,33.5292485666159,69.9037,35.8908,92.7469,65.3744,79.06065
137,FLV,TBF,uM,uM,viability,TRUE,2.55e-257,1.69e-183,9.41e-02,7.19e-03,-3.55554128110398,-6.44428329083993,0.415957094267323,22.6060356108994,70.4965,12.9051,81.5869,39.4997,60.5433
143,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,6.57e-09,4.15e-05,3.56059356415462,3.26263805543437,2.26956966589254,18.0399669556432,60.6199,29.362,90.3752,80.4028,85.389
180,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,6.26e-09,5.95e-04,4.53573178556775,3.83124696312473,7.15146694799042,19.1326482154653,32.8171,19.3691,73.7908,73.9947,73.89275
