"","Gene Symbol","Bliss","ZIP","Num. CLs w/ mut."
"1","ABCA13",-0.0457778490527227,0.144970344204862,22
"2","ADGRV1",0.0227329765189251,0.00782855788746355,24
"3","ANKRD36C",-0.0285787904431908,-0.0603245121770261,21
"4","CACNA1D",0.0861773918915627,-0.0291939602741829,20
"5","COL19A1",0.00110824825182009,-0.0929697189782654,20
"6","COL22A1",0.245291041843784,0.229420461788014,22
"7","CSMD1",0.0346509216286488,-0.142684955634909,23
"8","CSMD2",0.159144080159946,-0.0248105942108279,21
"9","DMD",0.436821931542008,0.380007822515725,22
"10","DNAH7",0.214864563832497,-0.0427906409762209,20
"11","DPP6",-0.0313374250267562,-0.015874619453314,20
"12","DST",0.240014948733855,0.238561307570411,22
"13","EYS",-0.0335957109698387,0.186792692644804,21
"14","FRG1",0.205014204622237,0.0599853175632559,24
"15","HLA-C",0.233816591851564,0.30464831710045,20
"16","HMCN1",0.185476501184889,0.173296909835959,20
"17","HSPG2",0.0295767708748284,0.124730798823357,20
"18","KIR2DL1",0.0121604890539976,0.136902406480517,21
"19","KIR2DL3",-0.0832145072543826,-0.0604516069754736,20
"20","KMT2C",0.0976879271939089,0.0771912907877496,24
"21","KRTAP5-10",-0.30233675174417,-0.313700350851409,25
"22","LRP1B",0.351635156144219,0.257769123891144,21
"23","MACF1",-0.150144988291556,-0.064781249598249,22
"24","MALRD1",0.158438181256274,0.104294300678528,22
"25","MGAM",-0.227480769535236,-0.414377333918944,20
"26","MUC16",0.344086071436263,0.215685917630581,27
"27","MUC4",0.370080623122614,0.303526235868251,23
"28","MYO10",0.205659587909111,0.3245458025968,23
"29","NAALADL2",0.111222971999618,-0.0187659480791004,20
"30","NEB",0.256338384289854,0.218767557100776,24
"31","OBSCN",-0.383974097177156,-0.581854320258546,23
"32","PABPC1",0.466705219163164,0.422609876379086,22
"33","PCDH15",-0.172490914636528,-0.335210069644199,21
"34","POLQ",0.191607277565368,0.360734319938556,20
"35","PTPRD",-0.223777584559833,-0.0930322473627868,21
"36","PTPRT",0.216971880625264,0.123257622719136,21
"37","RBFOX1",-0.212610455264334,0.0287104533195066,24
"38","RYR2",0.390258010690505,0.326781018204002,25
"39","SDK1",-0.152142716851351,0.0294707344186585,23
"40","SPTBN1",-0.179404666159798,-0.260628956307975,27
"41","SYNE1",-0.358215538521833,-0.29701106674424,22
"42","TG",-0.124976416450336,-0.203559509293272,20
"43","TP53",-0.224370070185402,-0.266706732605283,24
"44","TPTE2",0.376809141177302,0.0794990424123663,21
"45","TRIO",-0.107106938118247,-0.245955543509546,21
"46","TTN",-0.33681941163803,-0.219511331055699,26
"47","USH2A",0.303873557017933,0.37555012516544,20
"48","VPS13B",-0.0647021912059301,0.115341944574212,20
