"","Bliss","HSA","ZIP","Loewe"
"AU565.R1",-0.2777,0.2312,-0.2185,-1.4834
"AU565.R1.1",2.0048,2.7311,1.8109,0.6911
"AU565.R1.2",1.2562,2.7471,0.8184,1.4005
"AU565.R2",4.992,7.0857,3.3252,2.0447
"AU565.R2.1",0.7727,3.1042,0.4233,2.5649
"AU565.R2.2",-2.3523,0.6937,-1.7171,-1.2685
"AU565.R3",3.6263,0.5222,6.1896,0.11
"AU565.R3.1",9.5925,2.4829,6.1649,1.6941
"AU565.R3.2",4.7479,6.7658,4.2996,4.2462
"BT20.R1",0.5909,-12.0955,10.023,-22.6812
"BT20.R1.1",0.2931,-0.8969,4.9085,-9.4406
"BT20.R1.2",12.2008,0.199,8.1871,-3.4005
"BT20.R2",5.3951,-8.875,9.3331,-15.7437
"BT20.R2.1",4.6303,0.1083,5.0981,-2.9473
"BT20.R2.2",1.6719,2.2981,0.7669,0.6673
"BT20.R3",-0.3348,-8.5852,4.9418,-14.9932
"BT20.R3.1",-0.2368,0.0484,1.9428,-0.6576
"BT20.R3.2",3.255,0.0522,1.6761,-2.1817
"BT474.1",6.3135,1.2489,3.9738,-0.4708
"BT474.R1",4.2642,2.9023,3.4838,-10.4261
"BT474.R1.1",-6.9393,-5.2533,-3.2339,-4.7303
"BT474.R2",3.249,1.4273,1.6066,-26.4437
"BT474.R2.1",2.4762,0.5421,1.2061,-0.1989
"BT474.R2.2",3.1238,2.6595,0.5125,-3.1348
"BT474.R3",-2.9249,0.1944,-1.8505,-6.0881
"BT474.R3.1",-3.7577,-3.4765,-1.088,-15.8014
"BT474.RR3",3.9911,-6.1224,4.7502,-7.92
"BT549.R1",-2.4117,-1.3884,-0.6501,-10.9571
"BT549.R1.1",1.5524,-1.3198,3.223,-1.423
"BT549.R1.2",-0.269,0.0678,-0.2596,-0.8229
"BT549.R2",-5.8414,-4.0406,-3.3859,-9.9513
"BT549.R2.1",0.4505,-2.1292,2.0003,-5.9906
"BT549.R2.2",-1.4195,0.0739,-1.7134,-2.8841
"BT549.R3",-2.6806,0.8851,-0.409,-0.3729
"BT549.R3.1",0.3414,-0.6408,1.4819,-1.915
"BT549.R3.2",-1.5086,0.965,-1.3639,-1.7541
"CAL51.R1",2.7531,-1.6647,2.1062,-5.785
"CAL51.R1.1",-0.8445,-1.0758,0.0811,-1.9052
"CAL51.R1.2",-2.1037,-1.9259,-1.4906,-2.7369
"CAL51.R2",-0.1897,-0.7617,0.4085,-3.0412
"CAL51.R2.1",-6.2062,-6.0255,-2.3325,-3.5385
"CAL51.R2.2",-0.0955,-0.2182,0.0821,-0.582
"CAL51.R3",-2.1734,0.3803,-0.9583,-1.801
"CAL51.R3.1",1.1795,1.2539,0.8485,-3.665
"CAL51.R3.2",-0.5044,-0.0783,-0.1834,-0.9611
"CAMA1.R1",2.3645,0.6337,2.0908,-0.8187
"CAMA1.R1.1",3.5143,3.2599,1.0968,-1.2284
"CAMA1.R1.2",1.7516,1.305,1.0284,-0.0551
"CAMA1.R2",-0.5696,-2.227,1.0744,-2.5277
"CAMA1.R2.1",2.8878,0.9455,4.3467,-2.7855
"CAMA1.R2.2",0.4207,-0.4316,0.4736,-1.4547
"CAMA1.R3",3.9661,-0.3346,2.3763,-1.2511
"CAMA1.R3.1",2.5848,1.9716,1.9648,-2.8676
"CAMA1.R3.2",1.2592,1.0141,0.6627,-0.2431
"EFM.19.R1",-2.6629,-3.0489,-1.007,-4.8176
"EFM.19.R1.1",-2.6067,-2.6529,-0.4105,-4.8764
"EFM.19.R1.2",5.6361,7.0486,4.0019,3.0329
"EFM.19.R2",1.1432,2.1725,0.5128,1.0277
"EFM.19.R2.1",3.3384,0.3792,1.8164,-1.428
"EFM.19.R2.2",-2.9384,-2.3026,-1.9512,-5.2621
"EFM.19.R3",1.3616,-1.4003,1.3856,-5.7032
