"","Bliss","HSA","ZIP","Loewe"
"EFM.19.R3.1",2.548,2.7129,0.8596,-1.9953
"EFM.19.R3.2",3.7097,0.6779,2.2622,-0.5844
"EVSA.T.R1",-1.2115,-0.4942,0.4188,-5.2472
"EVSA.T.R1.1",0.4201,0.5191,0.5693,0.3329
"EVSA.T.R1.2",0.8188,0.8079,0.2995,0.6163
"EVSA.T.R2",0.4608,0.7466,-0.6463,-8.1118
"EVSA.T.R2.1",-0.3303,-0.0762,0.042,0.3193
"EVSA.T.R2.2",3.4867,3.3551,3.2046,2.9908
"EVSA.T.R3",-0.9473,-0.6197,-1.2844,-23.3222
"EVSA.T.R3.1",0.8416,0.9594,0.4802,-0.5543
"EVSA.T.R3.2",0.5806,0.3306,0.7617,-0.8199
"HBL100.R1",-6.9167,-3.6888,-5.6903,-5.5889
"HBL100.R1.1",-2.4052,-4.328,-3.6851,-7.3719
"HBL100.R1.2",6.9298,0.4418,6.8321,-7.3007
"HBL100.R2",-4.2023,-8.2091,-1.3908,-11.2731
"HBL100.R2.1",-2.1804,-3.5203,0.5914,-3.2546
"HBL100.R2.2",1.7996,-1.5463,1.4742,-8.348
"HBL100.R3",5.314,-6.9708,5.7938,-15.3151
"HBL100.R3.1",-0.295,-0.6819,-0.9128,-2.7132
"HBL100.R3.2",1.9319,0.5064,2.9755,-8.2576
"HCC1143.R1",3.8104,0.2299,1.0259,-45.9903
"HCC1143.R1.1",2.8914,2.2337,1.4384,-38.7429
"HCC1143.R1.2",4.5882,3.573,2.4472,1.0597
"HCC1143.R2",7.7861,1.8813,6.2372,2.3111
"HCC1143.R2.1",4.8707,-0.6755,3.4876,-2.4949
"HCC1143.R2.2",9.0658,3.5791,6.4326,-12.1154
"HCC1143.R3",5.9032,-1.1614,3.4257,-5.0956
"HCC1143.R3.1",4.0549,-1.0649,3.5263,-5.1777
"HCC1143.R3.2",0.2042,-0.1476,1.3846,-8.464
"HCC1395.R1",-2.5164,-2.5447,-2.1402,-2.3814
"HCC1395.R1.1",0.153,0.1795,0.2091,-0.08
"HCC1395.R1.2",-0.3139,0.063,-0.589,-0.0881
"HCC1395.R2",-4.1877,-4.2547,-4.8787,-4.0659
"HCC1395.R2.1",-0.3085,-0.3023,-0.2195,-0.8212
"HCC1395.R2.2",-0.7567,-0.5562,-0.5587,-1.3228
"HCC1395.R3",-4.6219,-4.3008,-4.6465,-4.891
"HCC1395.R3.1",0.043,0.1006,-0.076,-0.071
"HCC1395.R3.2",-0.2412,-0.3528,-0.2682,-1.0629
"HCC1419.R1",-0.7537,-0.4973,-0.2722,-13.9272
"HCC1419.R1.1",3.3002,2.4324,2.8129,0.5666
"HCC1419.R1.",1.2862,1.2603,1.8846,3.2767
"HCC1419.R2",-0.4719,-0.4894,-0.193,-2.1967
"HCC1419.R2.1",4.4191,1.0415,2.8951,-1.2663
"HCC1419.R2.",1.1898,1.4995,1.9914,1.2934
"HCC1419.R3",1.5664,0.1175,0.5931,-1.9335
"HCC1419.R3.1",4.4765,3.4917,3.7466,3.4394
"HCC1419.R3.",-0.5075,-0.4327,-0.2572,0.6934
"HCC1428.R1",-0.1431,2.2645,-0.2307,-1.4208
"HCC1428.R1.1",3.1212,3.7603,0.9109,0.4766
"HCC1428.R1.2",5.1239,5.3907,4.0804,-8.2502
"HCC1428.R2",0.2296,0.8267,-0.126,-2.1747
"HCC1428.R2.1",-0.5164,-2.0952,0.3457,-3.9307
"HCC1428.R2.2",3.6006,3.7227,2.4946,-15.5577
"HCC1428.R3",-0.2536,3.2589,0.1422,-0.0732
"HCC1428.R3.1",1.0205,2.2423,0.1935,-1.1057
"HCC1428.R3.2",3.4361,4.5575,2.6715,-36.3386
"HCC1806.R1",-7.8665,-2.5695,-6.1898,-8.0275
"HCC1806.R1.1",2.757,0.4529,3.3491,-0.0971
"HCC1806.R1.2",6.0602,3.3392,3.5364,2.6227
"HCC1806.R2",-4.3645,-1.281,-1.8442,-3.7415
"HCC1806.R2.1",1.0113,0.1955,0.4076,-1.6387
"HCC1806.R2.2",9.485,3.3728,5.6234,1.6308
"HCC1806.R3",3.7004,1.4163,3.9972,1.0075
"HCC1806.R3.1",0.4259,1.0994,1.1628,-4.3181
"HCC1937.R1",1.369,2.4787,0.773,-0.3205
"HCC1937.R1.1",3.6226,2.8129,2.736,-25.306
"HCC1937.R1.",0.7529,1.0221,-0.1831,-2.1043
"HCC1937.R2",2.0499,1.2451,1.3171,-2.4758
"HCC1937.R2.1",-1.1435,1.2436,-0.3946,-18.9179
"HCC1937.R2.",1.6822,1.917,0.6298,-0.492
"HCC1937.R3",5.6523,1.5387,4.1635,-9.0805
"HCC1937.R3.1",0.8226,1.8094,0.5486,-6.3338
"HCC1937.R3.",1.3883,1.4013,1.1778,-22.3721
"HCC1954.R1",1.4387,1.2524,1.6492,-2.1186
"HCC1954.R1.1",-1.8295,-0.9672,-0.9657,-7.0859
"HCC1954.R1.2",-0.3202,-0.644,-0.0145,-6.0321
"HCC1954.R2",-3.6763,-1.5604,0.0423,-6.872
"HCC1954.R2.1",-0.7646,-0.7672,-0.0809,-11.8643
"HCC1954.R2.2",-0.4085,0.2893,-0.5185,-5.8941
"HCC1954.R3",-4.09,-2.7825,-0.7592,-8.2645
"HCC1954.R3.1",-0.0715,0.0554,-0.027,-5.1857
"HCC1954.R3.2",-1.0243,-0.8502,-0.2605,-4.0866
"HCC38.R1",-0.8785,-1.5193,-0.2651,-3.9815
"HCC38.R1.1",-6.2391,-4.9859,-3.8286,-7.5265
"HCC38.R1.2",0.9564,0.6229,1.1788,-4.3587
"HCC38.R2",8.319,-0.6698,4.7195,-2.1941
"HCC38.R2.1",3.7944,1.0465,2.8991,-2.5405
"HCC38.R2.2",1.0243,-0.0093,0.9817,-4.4862
"HCC38.R3",-1.6213,-2.9987,-0.3671,-20.309
"HCC38.R3.1",7.0932,-1.2258,7.4588,-7.2686
"HCC38.R3.2",0.2658,-0.4572,0.7414,-3.484
"HCC70.R1",0.9789,1.3394,0.9122,-0.0643
"HCC70.R1.1",-0.6022,-0.2254,-1.3184,-4.6583
"HCC70.R1.2",-0.259,0.0632,-0.1926,0.3713
"HCC70.R2",2.9579,3.3662,2.7571,1.6876
"HCC70.R2.1",1.6586,3.2115,0.6214,-0.9705
"HCC70.R2.2",-0.3259,-0.1635,0.4143,-7.3109
"HCC70.R3",0.763,0.8112,0.8063,-2.8858
"HCC70.R3.1",1.5393,1.3262,1.1603,-9.4402
"HCC70.R3.2",4.9739,0.74,2.0353,-1.5769
"HDQP.1.R1",-11.3649,-11.6754,-5.2879,-14.1457
"HDQP.1.R1.1",1.0628,1.7698,0.586,-2.4969
"HDQP.1.R1.2",2.5069,2.0573,2.766,1.5034
"HDQP.1.R2",1.1112,-0.6533,0.4975,-1.6011
"HDQP.1.R2.1",1.8283,1.3976,1.5286,-0.8608
"HDQP.1.R2.2",0.2478,-0.014,0.8525,-3.3132
"HDQP.1.R3",8.8537,-3.8702,5.4839,-4.3687
"HDQP.1.R3.1",-1.5647,-2.1593,-0.5278,-4.9079
"HDQP.1.R3.2",1.965,1.5121,4.8228,1.4029
"HS578T.R1",-2.0092,-1.9227,-1.6065,-4.1901
"HS578T.R1.1",-4.3551,-4.4494,-3.2258,-5.0527
"HS578T.R1.",-5.5913,-4.3495,-4.0743,-5.6571
"HS578T.R2",-0.5818,-0.286,-0.3402,-8.4253
"HS578T.R2.1",-1.8514,-1.9581,-0.7913,-2.5901
"HS578T.R2.",-1.4429,-2.7359,-0.626,-3.7878
"HS578T.R3",-1.6169,-1.5742,-1.7019,-2.0116
"HS578T.R3.1",-0.7184,-0.9135,-0.8086,-3.8355
"HS578T.R3.",-3.3025,-3.0355,-1.2447,-5.4817
"LY2.R1",5.2905,4.805,2.489,-46.4718
"LY2.R1.1",4.841,3.7451,2.529,0.591
"LY2.R1.2",9.9673,5.2149,8.4497,3.1006
"LY2.R2",5.3135,0.4075,5.6576,-10.0663
"LY2.R2.1",5.4338,-0.3262,2.5924,-2.1524
"LY2.R2.2",3.3342,2.3476,3.7295,1.058
"LY2.R3",-0.6612,-1.0593,-0.3976,-25.7552
"LY2.R3.1",3.1214,0.7814,1.5166,-0.2822
"LY2.R3.2",4.8026,1.7309,1.5815,-6.0608
"MACLS2.R1",-5.1032,-3.603,-5.1648,-13.804
"MACLS2.R1.1",-12.8098,-10.9796,-11.5993,-13.6473
"MACLS2.R1.2",0.0178,0.3525,0.2681,-11.9457
"MACLS2.R2",0.1092,0.6036,-0.0953,-1.2912
"MACLS2.R2.1",-1.4359,-2.6363,-0.1199,-6.3851
"MACLS2.R2.2",2.259,1.4125,2.34,0.01
"MACLS2.R3",-3.7318,-0.2785,-2.7026,-4.3859
"MACLS2.R3.1",-0.485,-0.5982,-1.0427,-8.5465
"MACLS2.R3.2",-1.1074,-2.0431,-0.165,-6.3342
"MCF7.R1",2.4807,-0.0067,2.4567,-79.3964
"MCF7.R1.1",1.704,-0.7459,2.0078,-5.4355
"MCF7.R1.2",9.5637,5.2435,7.7988,1.4559
"MCF7.R2",2.7868,1.4164,3.051,-22.5044
"MCF7.R2.1",6.2707,1.4235,5.1526,-1.5456
"MCF7.R2.2",1.4404,6.5521,0.0793,2.9661
"MCF7.R3",1.8579,-0.0847,5.9369,-4.9411
"MCF7.R3.1",0.8263,-0.6187,0.9155,-6.6037
"MCF7.R3.2",5.8966,2.9243,3.8394,2.6269
"MDAMB175VII.R1",-2.9074,-1.5072,-1.3383,-2.847
"MDAMB175VII.R1.1",-2.1066,-0.3714,-1.3427,-2.039
"MDAMB175VII.R1.2",13.052,1.813,10.9082,1.0549
"MDAMB175VII.R2",2.7463,-1.1122,3.5284,-1.226
"MDAMB175VII.R2.1",2.9209,1.9702,1.9684,-0.0166
"MDAMB175VII.R2.2",38.0326,-18.4247,28.6769,-23.0713
"MDAMB175VII.R3",6.8888,-0.0823,6.1531,-0.7508
"MDAMB175VII.R3.1",3.0219,-1.4635,3.7523,-9.9818
"MDAMB175VII.R3.2",46.2348,-1.7948,41.4308,-6.9889
"MDAMB231.R1",-1.4817,-1.5475,-1.592,-5.345
"MDAMB231.R1.1",-0.0881,-0.3023,-0.0818,-1.3308
"MDAMB231.R1.2",1.2146,0.868,1.1538,0.9347
"MDAMB231.R2",-4.0552,-4.1811,-2.565,-5.7954
"MDAMB231.R2.1",-0.7479,-1.1352,-0.4705,-3.2422
"MDAMB231.R2.2",-0.1945,-0.6029,-0.3763,-0.514
"MDAMB231.R3",-1.6496,-2.8082,-0.4619,-4.597
"MDAMB231.R3.1",-0.0842,-0.8491,0.3554,-1.1577
"MDAMB231.R3.2",-0.0143,-1.2797,0.6972,-1.1521
"MDAMB361.R1",-0.4143,-0.8568,0.0297,-7.856
"MDAMB361.R1.1",3.9407,-0.2372,3.8852,-34.1894
"MDAMB361.R1.2",-6.908,-13.2582,0.5515,-24.0176
"MDAMB361.R2",1.8038,1.7977,1.2512,-2.0659
"MDAMB361.R2.1",3.8502,1.8913,3.529,-0.6688
"MDAMB361.R2.2",28.2731,-3.5582,24.1535,-11.6859
"MDAMB361.R3",2.006,-1.5806,1.8478,-4.808
"MDAMB361.R3.1",12.8649,1.4745,8.8657,-0.3951
"MDAMB361.R3.2",-3.482,-14.4464,1.6593,-16.1266
"MDAMB436.R1",-1.8217,0.4716,-1.1641,-0.5537
"MDAMB436.R1.1",0.152,-0.5227,0.2904,-1.1427
"MDAMB436.R1.2",-0.9561,-0.2006,-0.5776,-1.2805
"MDAMB436.R2",-2.5686,-0.555,-2.3645,-2.1979
"MDAMB436.R2.1",0.0569,0.8401,-0.1307,0.2062
"MDAMB436.R2.2",4.9919,1.7678,5.7511,-0.4539
"MDAMB436.R3",-1.2737,-0.0871,-1.149,-7.7208
"MDAMB436.R3.1",-2.8384,-3.8223,-1.5718,-4.8144
"MDAMB436.R3.2",-2.7473,-2.0607,-2.3634,-14.6724
"MDAMB468.R1",8.906,-4.9792,9.5516,-9.6572
"MDAMB468.R1.1",2.4198,2.6273,0.5539,0.9066
"MDAMB468.R1.",1.2435,2.6684,1.1678,-20.0181
"MDAMB468.R2",1.4283,0.1872,0.4171,-5.0246
"MDAMB468.R2.1",2.8667,0.6934,2.5512,-8.9192
"MDAMB468.R2.2",0.9004,0.3128,0.8686,-1.3008
"MDAMB468.R3",1.8515,-1.3828,-0.045,-4.702
"MDAMB468.R3.1",0.3982,0.5102,0.7035,-24.7143
"MDAMB468.R3.2",3.2889,4.0656,2.7423,-13.8895
"MPE600.R1",-1.3166,-0.5425,-1.2003,-16.2151
"MPE600.R1.1",-2.6057,-4.3809,-0.207,-6.1354
"MPE600.R1.2",3.7953,2.6028,2.1123,-7.3228
"MPE600.R2",-0.5877,-0.4867,-0.4177,-10.1116
"MPE600.R2.1",-0.7223,-1.2968,-0.8338,-14.0974
"MPE600.R2.2",-0.3689,-0.5236,-0.1932,-7.3332
"MPE600.R3",-2.1358,-1.461,-1.9434,-6.8868
"MPE600.R3.1",-0.3385,-1.0107,-0.0915,-3.6288
"MPE600.R3.2",0.7391,-0.2288,0.1774,-1.1951
"MX1.R1",9.8108,4.3675,7.1308,2.6387
"MX1.R1.1",0.4286,0.5112,0.2812,0.5089
"MX1.R1.2",1.4878,2.9521,1.0817,0.1811
"MX1.R2",0.5066,0.6833,0.2526,-2.3693
"MX1.R2.1",1.2459,-0.365,0.5197,-2.4598
"MX1.R2.2",3.0617,2.9338,2.4068,1.5144
"MX1.R3",-5.7037,0.1413,-3.6143,-1.7923
"MX1.R3.1",0.8727,1.4567,0.2192,-0.0438
"MX1.R3.2",3.014,3.9321,3.4293,2.2458
"OCUB.M.R1",3.4181,4.6627,3.063,-0.5965
"OCUB.M.R1.1",5.2074,1.1574,3.843,-2.702
"OCUB.M.R1.2",0.952,4.3856,1.7468,1.092
"OCUB.M.R2",6.2668,7.6398,4.1498,-0.8414
"OCUB.M.R2.1",5.9049,2.1358,4.7522,-12.7597
"OCUB.M.R2.2",2.2296,3.8927,2.4177,0.2174
"OCUB.M.R3",0.1257,0.9264,0.8632,-9.4115
"OCUB.M.R3.1",7.7311,3.8259,8.7643,-5.9214
"OCUB.M.R3.2",1.1284,3.2844,1.269,-14.6207
"SKBR3.R1",0.4038,2.9203,5.2107,1.4662
"SKBR3.R1.1",3.0191,-0.3443,3.6535,-3.7415
"SKBR3.R1.2",4.6084,3.3976,3.1715,2.388
"SKBR3.R2",3.777,4.3989,3.3613,1.3029
"SKBR3.R2.1",5.6686,2.218,4.4473,-8.2687
"SKBR3.R2.2",5.6811,2.7126,4.5275,0.5049
"SKBR3.R3",0.1989,0.0726,0.286,-3.3501
"SKBR3.R3.1",5.5566,1.9492,2.8386,-2.1338
"SKBR3.R3.2",0.1845,1.3739,0.7133,-0.5357
"SKBR5.R1",-3.3694,1.4539,-1.2253,-0.3301
"SKBR5.R1.1",-2.2656,-1.2078,-0.787,-3.5021
"SKBR5.R1.2",2.6528,3.4587,1.6505,-4.1877
"SKBR5.R2",4.7798,-2.0208,4.2039,-4.4237
"SKBR5.R2.1",2.3695,-0.5701,4.2917,-1.8478
"SKBR5.R2.2",2.438,4.0134,1.704,-18.2397
"SKBR5.R3",4.8364,-2.7112,5.201,-12.0126
"SKBR5.R3.1",3.2566,3.0631,1.8446,-0.3942
"SKBR5.R3.2",2.858,3.2963,2.1298,-3.7593
"SKBR7.R1",-8.1006,-7.0541,-7.2988,-20.2415
"SKBR7.R1.1",-4.0898,-4.0789,-3.0633,-5.2465
"SKBR7.R1.2",-3.4815,-4.0354,-0.6527,-3.3214
"SKBR7.R2",-5.0861,-4.2405,-3.8243,-6.5435
"SKBR7.R2.1",-1.899,-1.9291,-2.5296,-7.6732
"SKBR7.R2.2",-2.7078,-3.5072,-1.917,-5.6695
"SKBR7.R3",-7.3351,-1.7765,-5.8424,-23.6185
"SKBR7.R3.1",-0.8913,-0.4284,-1.2235,-8.2493
"SKBR7.R3.2",-0.6113,-1.5248,-0.3837,-2.5405
"SUM149.R1",4.2102,3.3113,2.9859,0.2268
"SUM149.R1.1",-1.2,-1.9043,-0.2206,-3.6038
"SUM149.R1.2",9.6936,-0.7113,6.8196,-0.8868
"SUM149.R2",0.4257,3.4142,0.1709,0.376
"SUM149.R2.1",-0.1214,-0.3515,-0.1137,-1.9465
"SUM149.R2.2",2.5966,-0.6438,3.4642,-3.8294
"SUM149.R3",1.5313,1.2499,1.7542,-1.3424
"SUM149.R3.1",2.6269,-1.1667,5.2553,-6.8702
"SUM149.R3R",-1.2513,-1.0052,-0.6976,-3.5902
"T47D.R1",1.7034,3.9144,1.0958,-2.9635
"T47D.R1.1",3.5438,5.217,2.2846,-2.0165
"T47D.R1.2",2.335,6.6347,0.7234,-10.4739
"T47D.R2",-1.1807,3.3893,-0.6607,-4.9527
"T47D.R2.1",1.4469,2.8902,0.7421,-22.2184
"T47D.R2.2",1.7279,5.1576,1.3803,-1.6682
"T47D.R3",1.9811,4.4299,2.7318,-4.7779
"T47D.R3.1",2.5184,2.1073,1.7847,-3.7617
"T47D.R3.2",7.8584,6.9702,5.4501,2.7992
"ZR751.R1",1.8809,-0.981,1.0953,-4.6513
"ZR751.R1.1",-2.2553,-2.6314,-1.6267,-4.17
"ZR751.R1.2",1.1708,-1.128,0.9132,-3.4568
"ZR751.R2",4.5647,1.0038,3.0038,-2.9257
"ZR751.R2.1",6.1451,0.6683,6.0807,-2.1918
"ZR751.R2.2",1.3067,-1.6608,1.8593,-3.9972
"ZR751.R3",0.2733,0.3618,0.3622,-1.4392
"ZR751.R3.1",-0.0937,-3.8135,1.9782,-5.5618
"ZR751.R3.2",-0.1509,0.0994,0.3408,-2.2544
