"","Symbol","Cell.Pearson","Organoid.Pearson","SameSign"
"1","AIF1L",0.595797147054816,0.426192387322756,TRUE
"2","ANK3",0.632507724413411,0.534649395664357,TRUE
"3","ARHGAP8",0.66904038122215,0.673695551494811,TRUE
"4","BSPRY",0.650296597006423,0.480724116266758,TRUE
"5","C1orf210",0.605213572744624,0.608973758235129,TRUE
"6","C2orf15",0.649233287314698,0.227727745913886,TRUE
"7","CLDN4",0.625237737931257,0.208460191413227,TRUE
"8","CRB3",0.616434000722402,0.278059729672173,TRUE
"9","EMP2",0.653320070352292,0.273408167009267,TRUE
"10","EPCAM",0.651205593547449,0.624677197325868,TRUE
"11","EPHA1",0.633231895579729,0.720044210050208,TRUE
"12","ERBB3",0.648726791213666,0.284481511891137,TRUE
"13","GGCT",0.633270946344888,0.472047864068593,TRUE
"14","GRHL1",0.611720207197966,0.657245770915385,TRUE
"15","GRID2IP",0.644376646092481,0.406609879321424,TRUE
"16","IRX2",0.626389933663987,0.496087662642472,TRUE
"17","KDF1",0.623816315901735,0.341240291338148,TRUE
"18","LCMT1",0.638314715592488,0.53429208637062,TRUE
"19","MARVELD2",0.620945851120093,0.201835388319848,TRUE
"20","MARVELD3",0.599201870695335,0.309469441690737,TRUE
"21","OVOL2",0.659367061541183,0.647667524658057,TRUE
"22","PROM2",0.649112208189121,0.444553596080313,TRUE
"23","PRSS22",0.661864709662356,0.44967329958465,TRUE
"24","PRSS8",0.60781417247753,0.9083191036974,TRUE
"25","RAB25",0.676298729172218,0.599467270097342,TRUE
"26","RAPGEF5",0.615694930858034,0.56358073786571,TRUE
"27","RP11-296A16.1",0.607221171808306,0.727657969996085,TRUE
"28","TC2N",0.594878115705412,0.566549843573397,TRUE
"29","TMEM241",0.648433204700414,0.476491656235139,TRUE
"30","TMPRSS13",0.625593945123756,0.272579016055939,TRUE
"31","ZG16B",0.627604898250075,0.537389558009604,TRUE
