"sample","subtype","SCMOD2"
"BXTO143T","ER-/HER2-","Basal"
"BXTO147","ER+/HER2- High Prolif","Luminal"
"DCBPTO14","ER+/HER2- Low Prolif","Luminal"
"DCBPTO19","ER+/HER2- High Prolif","Luminal"
"DCBPTO66","ER+/HER2- Low Prolif","Luminal"
"DCBXTO132","ER-/HER2-","Basal"
"DCBXTO137","ER+/HER2- High Prolif","Luminal"
"DCBXTO58","ER+/HER2- High Prolif","Luminal"
"REF039","ER+/HER2- High Prolif","Luminal"
"REF049","ER-/HER2-","Basal"
"REF052","ER+/HER2- Low Prolif","Luminal"
"S100804","ER-/HER2-","Basal"
"S108099","ER-/HER2-","Basal"
"S104987.1","ER-/HER2-","Basal"
"S178200","ER-/HER2-","Basal"
"AZ_16720_5305_A2","ER-/HER2-","Basal"
"AZ_16720_5305_A9","ER-/HER2-","Basal"
"AZ_241417_AZD-8205_B5","ER-/HER2-","Basal"
"AZ_241417_AZD-8205_B6","ER-/HER2-","Basal"
"AZ_48602_AZD-8205_B10","ER-/HER2-","Basal"
"AZ_48602_AZD-8205_B11","ER+/HER2- High Prolif","Luminal"
"AZ_48602_AZD-8205_B3","ER-/HER2-","Basal"
"AZ_48602_AZD-8205_Control_C5","ER-/HER2-","Basal"
"AZ_48602_AZD-8205_Control_C7","ER-/HER2-","Basal"
"AZ_48602_SG_D5","ER+/HER2- High Prolif","Luminal"
"AZ_69693_5305_A10","ER-/HER2-","Basal"
"AZ_69693_5305_A8","ER-/HER2-","Basal"
"AZ_69693_AZD-8205_B12","ER-/HER2-","Basal"
"AZ_73062_AZD-8205_Control_C8","ER-/HER2-","Basal"
"AZ_73230_5305_A3","ER-/HER2-","Basal"
"AZ_73230_5305_A4","ER-/HER2-","Basal"
"AZ_73230_5305_A5","ER-/HER2-","Basal"
"AZ_73230_5305_A6","ER-/HER2-","Basal"
"AZ_73230_5305_A7","ER-/HER2-","Basal"
"AZ_73230_AZD-8205_Control_C1","ER-/HER2-","Basal"
"AZ_73230_AZD-8205_Control_C2","ER-/HER2-","Basal"
"AZ_73230_AZD-8205_Control_C4","ER-/HER2-","Basal"
"AZ_73230_AZD-8205_Control_C6","ER-/HER2-","Basal"
"AZ_85277_SG_D3","HER2+","Her2"
"AZ_INSB019_AZD-8205_B7","ER+/HER2- High Prolif","Luminal"
"AZ_INSB019_AZD-8205_B8","ER+/HER2- High Prolif","Luminal"
"AZ_INSB019_AZD-8205_B9","ER+/HER2- High Prolif","Luminal"
"AZ_REF001_AZD-8205_B4","ER-/HER2-","Basal"
"AZ_REF022_AZD-8205_B2","ER-/HER2-","Basal"
"AZ_REF022_AZD-8205_Control_C3","ER-/HER2-","Basal"
"AZ_REF022_SG_D1","ER-/HER2-","Basal"
"AZ_REF022_SG_D2","ER-/HER2-","Basal"
"AZ_REF048_5305_A1","ER-/HER2-","Basal"
"AZ_REF048_AZD-8205_B1","ER-/HER2-","Basal"
"AZ_REF052_SG_D4","ER+/HER2- High Prolif","Luminal"
"REF037","ER+/HER2- High Prolif","Luminal"
"REF043_r1","ER+/HER2- High Prolif","Luminal"
"REF053","ER+/HER2- Low Prolif","Luminal"
"REF054","ER-/HER2-","Basal"
"REF057","ER-/HER2-","Basal"
"REF062","ER-/HER2-","Basal"
"REF063","ER+/HER2- High Prolif","Luminal"
"38807_P1_CX_RES_P2","ER-/HER2-","Basal"
"73230_CX_RES_P3","ER-/HER2-","Basal"
"73263_CX_RES_P9","ER-/HER2-","Basal"
"REF005_BL_CX_RES_P3","ER-/HER2-","Basal"
