"sample","subtype","SCMOD2"
"S18674","ER-/HER2-","Basal"
"S20710","ER+/HER2- High Prolif","Luminal"
"S44441","ER+/HER2- Low Prolif","Luminal"
"S47904","ER-/HER2-","Basal"
"S48342","ER-/HER2-","Basal"
"S48602","ER-/HER2-","Basal"
"S23223","ER-/HER2-","Basal"
"S28077","ER+/HER2- Low Prolif","Luminal"
"S66280","ER-/HER2-","Basal"
"S66684","ER-/HER2-","Basal"
"S71208","ER-/HER2-","Basal"
"S72877","HER2+","Her2"
"S73062","ER-/HER2-","Basal"
"REF001","ER-/HER2-","Basal"
"REF002","ER+/HER2- High Prolif","Luminal"
"REF004","ER+/HER2- High Prolif","Luminal"
"RNA_39","ER+/HER2- High Prolif","Luminal"
"S73471","ER-/HER2-","Basal"
"REF005","ER-/HER2-","Basal"
"S48041","HER2+","Her2"
"S51706","ER-/HER2-","Basal"
"S66817","ER+/HER2- High Prolif","Luminal"
"S67455","HER2+","Her2"
"S68941","ER-/HER2-","Basal"
"S69693","ER-/HER2-","Basal"
"S45086","ER+/HER2- High Prolif","Luminal"
"S241417","ER-/HER2-","Basal"
"S71335","ER+/HER2- High Prolif","Luminal"
"S72825","HER2+","Her2"
"S72955","ER-/HER2-","Basal"
"S73230","ER-/HER2-","Basal"
"S73263","ER-/HER2-","Basal"
"REF003","ER-/HER2-","Basal"
"REF006","ER-/HER2-","Basal"
"REF007","ER-/HER2-","Basal"
"REF009","ER+/HER2- High Prolif","Luminal"
"REF010","ER-/HER2-","Basal"
"S52226","ER+/HER2- High Prolif","Luminal"
"S67990","ER-/HER2-","Basal"
"S69196","ER-/HER2-","Basal"
"S70620","ER-/HER2-","Basal"
"S46962","ER-/HER2-","Basal"
"S71732","ER-/HER2-","Basal"
"INSB014","ER-/HER2-","Basal"
"S85277","HER2+","Her2"
"INSB019","ER+/HER2- High Prolif","Luminal"
"REF014","ER-/HER2-","Basal"
"REF016","ER-/HER2-","Basal"
"REF019","ER-/HER2-","Basal"
"REF022","ER-/HER2-","Basal"
"S53782","ER-/HER2-","Basal"
"REF025","ER-/HER2-","Basal"
"REF024","ER-/HER2-","Basal"
"S44205","ER+/HER2- Low Prolif","Luminal"
"S87654","ER+/HER2- High Prolif","Luminal"
"REF013","ER-/HER2-","Basal"
"S38807","ER-/HER2-","Basal"
"REF020","ER-/HER2-","Basal"
"REF023","ER-/HER2-","Basal"
"REF030","ER-/HER2-","Basal"
"S90189","ER+/HER2- Low Prolif","Luminal"
"NOTCH06","ER-/HER2-","Basal"
"NOTCH10","ER-/HER2-","Basal"
"NOTCHB02","ER-/HER2-","Basal"
"REF006_BLP1","ER-/HER2-","Basal"
"NOTCH01","ER-/HER2-","Basal"
"NOTCH01_TAXOLRES_P6_CTRL2","ER-/HER2-","Basal"
"NOTCH18","ER-/HER2-","Basal"
"NOTCHB01_P3_TXLCTRL1","ER-/HER2-","Basal"
"S100534","ER-/HER2-","Basal"
"S100672","ER-/HER2-","Basal"
"BXTO64","ER+/HER2- High Prolif","Luminal"
"BXTO81","ER-/HER2-","Basal"
"REF036","ER+/HER2- High Prolif","Luminal"
"BPTO51","ER-/HER2-","Basal"
"BPTO63","ER+/HER2- High Prolif","Luminal"
"REF032","ER+/HER2- High Prolif","Luminal"
"REF034","ER+/HER2- High Prolif","Luminal"
"REF035","ER-/HER2-","Basal"
"REF038","ER-/HER2-","Basal"
"S104987","HER2+","Her2"
"73263_CX_RES_P8","ER-/HER2-","Basal"
"BPTO51_BME","ER-/HER2-","Basal"
"BPTO51_CNC","ER-/HER2-","Basal"
"BPTO51_T","ER-/HER2-","Basal"
"BPTO95_BME","ER+/HER2- Low Prolif","Luminal"
"BPTO95_CNC","ER+/HER2- Low Prolif","Luminal"
"BPTO95_T","ER+/HER2- Low Prolif","Luminal"
"BXTO64_BME_ORG","ER+/HER2- High Prolif","Luminal"
"BXTO64_BME_PDX","ER+/HER2- High Prolif","Luminal"
"BXTO64_CNC_ORG","ER+/HER2- Low Prolif","Luminal"
"BXTO64_CNC_PDX","ER+/HER2- High Prolif","Luminal"
"BXTO64_PDX","ER+/HER2- High Prolif","Luminal"
"REF041","ER+/HER2- High Prolif","Luminal"
"REF042","ER-/HER2-","Basal"
"REF043","ER+/HER2- Low Prolif","Luminal"
"REF044","ER-/HER2-","Basal"
"S108045","ER-/HER2-","Basal"
"S16720","ER-/HER2-","Basal"
"REF047","ER-/HER2-","Basal"
"REF048","ER-/HER2-","Basal"
"BPTO180","HER2+","Her2"
"BPTO180T","HER2+","Her2"
"BPTO93","ER+/HER2- High Prolif","Luminal"
"BPTO93T","ER+/HER2- Low Prolif","Luminal"
"BXTO143","ER-/HER2-","Basal"
