block_id,drug1,drug2,conc_unit1,conc_unit2,input_type,replicate,response_p_value,response_origin_p_value,ZIP_synergy_p_value,Bliss_synergy_p_value,ZIP_synergy,Bliss_synergy,ic50_1,ic50_2,ri_1,ri_2,css1_ic502,css2_ic501,css
58,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,2.12e-06,5.34e-10,-3.78090085015141,-5.26818622170642,15.5715214416222,12.9296554002622,50.712,24.8212,74.9463,81.5495,78.2479
66,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,4.50e-09,3.25e-03,5.45210319749343,3.89862401570022,7.06071985980897,12.5147817012596,32.8837,13.1706,74.0649,67.161,70.61295
95,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,3.25e-01,5.43e-01,1.07603513719994,0.885767966565022,18.7509138311281,22.1019785579116,38.4193,10.6999,73.6858,65.39,69.5379
132,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,1.31e-07,6.71e-09,-3.59247734574987,-4.19755361738806,0.389384430660806,33.5620136724653,69.9034,35.8908,92.7728,65.3733,79.07305
137,FLV,TBF,uM,uM,viability,TRUE,2.55e-257,1.69e-183,9.41e-02,7.19e-03,-3.55563573728774,-6.44428329083993,0.415837675792046,22.6060356110213,70.4965,12.9051,81.5893,39.4798,60.53455
143,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,6.57e-09,4.15e-05,3.56059262367544,3.26263805543437,2.26956967210571,18.0399669501146,60.6199,29.362,90.3753,80.4028,85.38905
180,FLV,TBF,uM,uM,viability,TRUE,< 2e-324,< 2e-324,6.50e-09,5.95e-04,4.53508976688677,3.83124696312473,7.13880005457408,19.132648215648,32.8171,19.3691,73.7908,73.9605,73.87565
